Date/Time,General:Heating:Electricity [J](Hourly) 
 12/21  01:00:00,23283580.229092605 
 12/21  02:00:00,23283580.229092605 
 12/21  03:00:00,23283580.229092605 
 12/21  04:00:00,23283580.229092605 
 12/21  05:00:00,23283580.229092605 
 12/21  06:00:00,23283580.229092605 
 12/21  07:00:00,23283580.229092605 
 12/21  08:00:00,23283580.229092605 
 12/21  09:00:00,23283580.229092605 
 12/21  10:00:00,23283580.229092605 
 12/21  11:00:00,23283580.229092605 
 12/21  12:00:00,23283580.229092605 
 12/21  13:00:00,23283580.229092605 
 12/21  14:00:00,23283580.229092605 
 12/21  15:00:00,23283580.229092605 
 12/21  16:00:00,23283580.229092605 
 12/21  17:00:00,23283580.229092605 
 12/21  18:00:00,23283580.229092605 
 12/21  19:00:00,23283580.229092605 
 12/21  20:00:00,23283580.229092605 
 12/21  21:00:00,23283580.229092605 
 12/21  22:00:00,23283580.229092605 
 12/21  23:00:00,23283580.229092605 
 12/21  24:00:00,23283580.229092605 
 07/21  01:00:00,0.0 
 07/21  02:00:00,0.0 
 07/21  03:00:00,0.0 
 07/21  04:00:00,0.0 
 07/21  05:00:00,0.0 
 07/21  06:00:00,0.0 
 07/21  07:00:00,0.0 
 07/21  08:00:00,0.0 
 07/21  09:00:00,0.0 
 07/21  10:00:00,0.0 
 07/21  11:00:00,0.0 
 07/21  12:00:00,0.0 
 07/21  13:00:00,0.0 
 07/21  14:00:00,0.0 
 07/21  15:00:00,0.0 
 07/21  16:00:00,0.0 
 07/21  17:00:00,0.0 
 07/21  18:00:00,0.0 
 07/21  19:00:00,0.0 
 07/21  20:00:00,0.0 
 07/21  21:00:00,0.0 
 07/21  22:00:00,0.0 
 07/21  23:00:00,0.0 
 07/21  24:00:00,0.0 
 01/01  01:00:00,5327912.677514332 
 01/01  02:00:00,6411984.846314257 
 01/01  03:00:00,10912377.890243893 
 01/01  04:00:00,11893561.843075968 
 01/01  05:00:00,12755135.243747905 
 01/01  06:00:00,13061637.697646411 
 01/01  07:00:00,15088712.26335416 
 01/01  08:00:00,16263020.189678842 
 01/01  09:00:00,8001560.360560981 
 01/01  10:00:00,1732736.1430906465 
 01/01  11:00:00,2340967.8210071325 
 01/01  12:00:00,2990012.4740641513 
 01/01  13:00:00,1513957.6791346238 
 01/01  14:00:00,942355.7167445454 
 01/01  15:00:00,983631.022939799 
 01/01  16:00:00,1175615.8454856137 
 01/01  17:00:00,2007173.478158361 
 01/01  18:00:00,3729897.1980687315 
 01/01  19:00:00,7024493.2052453505 
 01/01  20:00:00,6756230.430256162 
 01/01  21:00:00,5222832.7315751705 
 01/01  22:00:00,6245376.035484818 
 01/01  23:00:00,9672032.347885422 
 01/01  24:00:00,7264520.988708875 
 01/01  01:00:00,5327912.677514332 
 01/01  02:00:00,6411984.846314257 
 01/01  03:00:00,10912377.890243893 
 01/01  04:00:00,11893561.843075968 
 01/01  05:00:00,12755135.243747905 
 01/01  06:00:00,13061637.697646411 
 01/01  07:00:00,15088712.26335416 
 01/01  08:00:00,16263020.189678842 
 01/01  09:00:00,8001560.360560981 
 01/01  10:00:00,1732736.1430906465 
 01/01  11:00:00,2340967.8210071325 
 01/01  12:00:00,2990012.4740641513 
 01/01  13:00:00,1513957.6791346238 
 01/01  14:00:00,942355.7167445454 
 01/01  15:00:00,983631.022939799 
 01/01  16:00:00,1175615.8454856137 
 01/01  17:00:00,2007173.478158361 
 01/01  18:00:00,3729897.1980687315 
 01/01  19:00:00,7024493.2052453505 
 01/01  20:00:00,6756230.430256162 
 01/01  21:00:00,5222832.7315751705 
 01/01  22:00:00,6245376.035484818 
 01/01  23:00:00,9672032.347885422 
 01/01  24:00:00,7264520.988708875 
