Time,LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,5.223990E+03,1.459325E+03,1.843966E-01,1.203777E-01
00:30:00,5.262741E+03,1.364715E+03,1.857642E-01,1.125733E-01
00:45:00,5.300667E+03,1.272407E+03,1.871027E-01,1.049588E-01
01:00:00,5.337884E+03,1.182154E+03,1.884163E-01,9.751382E-02
01:15:00,5.365251E+03,1.103614E+03,1.893821E-01,9.103504E-02
01:30:00,5.388409E+03,1.030670E+03,1.901994E-01,8.501790E-02
01:45:00,5.408730E+03,9.622362E+02,1.909165E-01,7.937281E-02
02:00:00,5.427026E+03,8.978020E+02,1.915623E-01,7.405768E-02
02:15:00,5.441228E+03,8.390451E+02,1.920635E-01,6.921088E-02
02:30:00,5.453470E+03,7.838836E+02,1.924956E-01,6.466067E-02
02:45:00,5.464268E+03,7.318553E+02,1.928767E-01,6.036894E-02
03:00:00,5.473927E+03,6.826429E+02,1.932176E-01,5.630948E-02
03:15:00,5.482312E+03,6.359635E+02,1.935136E-01,5.245898E-02
03:30:00,5.489641E+03,5.915413E+02,1.937723E-01,4.879467E-02
03:45:00,5.496083E+03,5.491162E+02,1.939996E-01,4.529511E-02
04:00:00,5.501817E+03,5.085162E+02,1.942021E-01,4.194610E-02
04:15:00,5.503110E+03,4.735944E+02,1.942477E-01,3.906547E-02
04:30:00,5.502278E+03,4.418436E+02,1.942183E-01,3.644642E-02
04:45:00,5.500060E+03,4.128058E+02,1.941401E-01,3.405116E-02
05:00:00,5.496743E+03,3.957340E+02,1.940230E-01,3.264295E-02
05:15:00,5.484139E+03,4.209380E+02,1.935781E-01,3.472194E-02
05:30:00,5.467767E+03,5.054072E+02,1.930003E-01,4.168963E-02
05:45:00,5.448731E+03,6.512110E+02,1.923285E-01,5.371674E-02
06:00:00,5.427653E+03,8.485058E+02,1.915846E-01,6.999129E-02
06:15:00,5.406370E+03,1.073200E+03,1.908334E-01,8.852591E-02
06:30:00,5.383402E+03,1.301573E+03,1.900228E-01,1.073640E-01
06:45:00,5.359232E+03,1.531769E+03,1.891698E-01,1.263524E-01
07:00:00,5.334099E+03,1.755941E+03,1.882828E-01,1.448438E-01
07:15:00,5.320381E+03,1.960960E+03,1.877988E-01,1.617552E-01
07:30:00,5.307681E+03,2.154984E+03,1.873506E-01,1.777595E-01
07:45:00,5.295460E+03,2.332645E+03,1.869193E-01,1.924139E-01
08:00:00,5.283552E+03,2.498776E+03,1.864990E-01,2.061173E-01
08:15:00,5.309974E+03,2.617300E+03,1.874316E-01,2.158939E-01
08:30:00,5.343419E+03,2.720882E+03,1.886119E-01,2.244377E-01
08:45:00,5.381499E+03,2.813691E+03,1.899557E-01,2.320928E-01
09:00:00,5.423013E+03,2.898509E+03,1.914204E-01,2.390888E-01
09:15:00,5.443204E+03,2.995247E+03,1.921324E-01,2.470679E-01
09:30:00,5.463629E+03,3.081956E+03,1.928527E-01,2.542199E-01
09:45:00,5.484547E+03,3.156915E+03,1.935904E-01,2.604027E-01
10:00:00,5.505923E+03,3.217261E+03,1.943444E-01,2.653801E-01
10:15:00,5.511347E+03,3.278346E+03,1.945354E-01,2.704185E-01
10:30:00,5.515408E+03,3.325884E+03,1.946785E-01,2.743397E-01
10:45:00,5.518509E+03,3.359495E+03,1.947877E-01,2.771120E-01
11:00:00,5.520972E+03,3.379931E+03,1.948745E-01,2.787977E-01
11:15:00,5.522578E+03,3.388681E+03,1.949311E-01,2.795195E-01
11:30:00,5.523159E+03,3.388712E+03,1.949516E-01,2.795221E-01
11:45:00,5.523117E+03,3.384110E+03,1.949501E-01,2.791426E-01
12:00:00,5.522581E+03,3.380620E+03,1.949312E-01,2.788548E-01
12:15:00,5.522313E+03,3.387416E+03,1.949218E-01,2.794154E-01
12:30:00,5.521969E+03,3.413626E+03,1.949097E-01,2.815774E-01
12:45:00,5.521514E+03,3.464368E+03,1.948936E-01,2.857631E-01
13:00:00,5.520965E+03,3.541083E+03,1.948743E-01,2.920911E-01
13:15:00,5.520524E+03,3.638834E+03,1.948587E-01,3.001543E-01
13:30:00,5.520898E+03,3.750795E+03,1.948719E-01,3.093897E-01
13:45:00,5.521834E+03,3.871698E+03,1.949049E-01,3.193627E-01
14:00:00,5.523234E+03,3.996587E+03,1.949543E-01,3.296645E-01
14:15:00,5.523603E+03,4.122044E+03,1.949672E-01,3.400129E-01
14:30:00,5.523537E+03,4.243394E+03,1.949649E-01,3.500227E-01
14:45:00,5.523217E+03,4.357107E+03,1.949536E-01,3.594025E-01
15:00:00,5.522688E+03,4.460386E+03,1.949349E-01,3.679217E-01
15:15:00,5.516710E+03,4.556899E+03,1.947239E-01,3.758827E-01
15:30:00,5.507798E+03,4.640196E+03,1.944093E-01,3.827535E-01
15:45:00,5.496889E+03,4.708937E+03,1.940243E-01,3.884235E-01
16:00:00,5.484447E+03,4.762495E+03,1.935852E-01,3.928414E-01
16:15:00,5.453994E+03,4.819954E+03,1.925104E-01,3.975809E-01
16:30:00,5.416434E+03,4.872925E+03,1.911848E-01,4.019503E-01
16:45:00,5.374196E+03,4.919505E+03,1.896942E-01,4.057928E-01
17:00:00,5.328269E+03,4.958569E+03,1.880734E-01,4.090153E-01
17:15:00,5.263695E+03,5.003802E+03,1.857944E-01,4.127469E-01
17:30:00,5.194133E+03,5.038186E+03,1.833395E-01,4.155838E-01
17:45:00,5.121091E+03,5.048786E+03,1.807618E-01,4.164590E-01
18:00:00,5.045272E+03,5.034155E+03,1.780862E-01,4.152532E-01
18:15:00,4.978086E+03,4.974501E+03,1.757153E-01,4.103331E-01
18:30:00,4.919444E+03,4.867772E+03,1.736460E-01,4.015298E-01
18:45:00,4.865940E+03,4.720290E+03,1.717580E-01,3.893647E-01
19:00:00,4.816469E+03,4.514009E+03,1.700124E-01,3.723493E-01
19:15:00,4.799932E+03,4.228950E+03,1.694292E-01,3.488360E-01
19:30:00,4.790683E+03,3.925289E+03,1.691030E-01,3.237880E-01
19:45:00,4.786584E+03,3.636439E+03,1.689586E-01,2.999617E-01
20:00:00,4.786399E+03,3.396021E+03,1.689521E-01,2.801303E-01
20:15:00,4.788768E+03,3.213676E+03,1.690358E-01,2.650893E-01
20:30:00,4.791948E+03,3.069870E+03,1.691480E-01,2.532274E-01
20:45:00,4.795905E+03,2.946816E+03,1.692876E-01,2.430773E-01
21:00:00,4.800534E+03,2.837181E+03,1.694509E-01,2.340341E-01
21:15:00,4.809211E+03,2.731766E+03,1.697571E-01,2.253387E-01
21:30:00,4.820954E+03,2.629720E+03,1.701716E-01,2.169212E-01
21:45:00,4.834935E+03,2.530152E+03,1.706650E-01,2.087080E-01
22:00:00,4.850668E+03,2.432330E+03,1.712203E-01,2.006389E-01
22:15:00,4.884428E+03,2.320736E+03,1.724120E-01,1.914337E-01
22:30:00,4.923305E+03,2.207609E+03,1.737842E-01,1.821025E-01
22:45:00,4.965633E+03,2.094142E+03,1.752782E-01,1.727431E-01
23:00:00,5.010719E+03,1.980841E+03,1.768695E-01,1.633975E-01
23:15:00,5.053788E+03,1.872205E+03,1.783896E-01,1.544365E-01
23:30:00,5.096827E+03,1.765563E+03,1.799086E-01,1.456395E-01
23:45:00,5.140296E+03,1.660499E+03,1.814428E-01,1.369727E-01
24:00:00,5.184081E+03,1.556944E+03,1.829881E-01,1.284304E-01
Peak,5.523603E+03,5.048786E+03,1.949672E-01,4.164590E-01

Peak Vol Flow (m3/s),,,2.020215E-01,4.315273E-01
