Date/Time,Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,18311926.505604543 
 01/01  02:00:00,16416918.058833776 
 01/01  03:00:00,17564675.015732866 
 01/01  04:00:00,17054678.462699264 
 01/01  05:00:00,17323008.350245066 
 01/01  06:00:00,14345038.424879357 
 01/01  07:00:00,15865205.284396417 
 01/01  08:00:00,24653102.21944648 
 01/01  09:00:00,20882905.92094947 
 01/01  10:00:00,19056411.592149023 
 01/01  11:00:00,18181537.542184483 
 01/01  12:00:00,21450329.463440515 
 01/01  13:00:00,19887258.43320824 
 01/01  14:00:00,20880904.42646528 
 01/01  15:00:00,22802355.812213 
 01/01  16:00:00,19884634.213467963 
 01/01  17:00:00,21620958.824429005 
 01/01  18:00:00,21257838.607413374 
 01/01  19:00:00,22072559.63750341 
 01/01  20:00:00,25934905.462189127 
 01/01  21:00:00,27977218.996916063 
 01/01  22:00:00,24165296.07405101 
 01/01  23:00:00,20060370.490366746 
 01/01  24:00:00,25065154.81190298 
