Date/Time,Heating:Electricity [J](Hourly) 
 01/01  01:00:00,23730468.123306908 
 01/01  02:00:00,22866688.363053445 
 01/01  03:00:00,23205856.693096988 
 01/01  04:00:00,22652437.53803664 
 01/01  05:00:00,0.0 
 01/01  06:00:00,29139595.828005187 
 01/01  07:00:00,24418958.625667565 
 01/01  08:00:00,22847541.886171386 
 01/01  09:00:00,21260976.330309093 
 01/01  10:00:00,19562724.637693502 
 01/01  11:00:00,17373037.23548601 
 01/01  12:00:00,15943100.214504585 
 01/01  13:00:00,14501244.184929961 
 01/01  14:00:00,14975948.315268084 
 01/01  15:00:00,16579014.52849026 
 01/01  16:00:00,15455113.534664012 
 01/01  17:00:00,16849946.1049148 
 01/01  18:00:00,20391203.4870675 
 01/01  19:00:00,20475379.437439185 
 01/01  20:00:00,22867848.26913569 
 01/01  21:00:00,24664916.23960337 
 01/01  22:00:00,25712006.41345474 
 01/01  23:00:00,27561392.308769986 
 01/01  24:00:00,28891262.047947578 
