Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:Electricity [J](Hourly) 
 01/01  01:00:00,-4.5,15.834989479051888,-5.520141361650542,21.5,0.0,20520000.0 
 01/01  02:00:00,-3.0,15.941433698705364,-5.079125015857995,21.5,0.0,20520000.0 
 01/01  03:00:00,-3.625,15.58192458568137,-4.8762611279226595,21.5,0.0,20520000.0 
 01/01  04:00:00,-2.75,15.498731427927844,-4.638730866506823,21.5,0.0,20520000.0 
 01/01  05:00:00,-2.0,15.501861879011175,-3.890692087509912,21.5,0.0,20520000.0 
 01/01  06:00:00,-1.375,15.558125535458277,-3.0817108946711786,21.5,0.0,20520000.0 
 01/01  07:00:00,-1.0,15.935443706098622,-2.6128746888124437,21.5,0.0,20520000.0 
 01/01  08:00:00,-1.0,16.309418972413752,-2.0867087378241203,21.5,0.0,20520000.0 
 01/01  09:00:00,-0.375,17.305896788549592,-0.07369166713246056,21.5,0.0,20520000.0 
 01/01  10:00:00,1.25,17.354270283392744,2.8439096931085275,21.5,0.0,20520000.0 
 01/01  11:00:00,2.0,18.858546299730005,5.566014387696328,21.5,0.0,20520000.0 
 01/01  12:00:00,1.375,18.43894652812165,8.018469900562776,21.5,0.0,20520000.0 
 01/01  13:00:00,2.25,18.77919015810204,7.93464180228528,21.5,0.0,20520000.0 
 01/01  14:00:00,2.375,18.926735964578604,7.160929227872753,21.5,0.0,20520000.0 
 01/01  15:00:00,1.375,18.46894754460874,5.174756890019403,21.5,0.0,20520000.0 
 01/01  16:00:00,1.0,18.288232121401162,3.6462045139609742,21.5,0.0,20520000.0 
 01/01  17:00:00,0.375,18.082843610387435,2.71425993256988,21.5,0.0,20520000.0 
 01/01  18:00:00,-0.625,17.55299394165872,1.2705512158783294,21.5,0.0,20520000.0 
 01/01  19:00:00,-1.625,16.96770558322512,-0.0009342628520723067,21.5,0.0,20520000.0 
 01/01  20:00:00,-3.25,15.804214949417581,-1.565774563558679,21.5,0.0,20520000.0 
 01/01  21:00:00,-4.625,14.797963709293569,-2.9855113405107097,21.5,0.0,20520000.0 
 01/01  22:00:00,-5.625,14.525464154082936,-3.932658384145669,21.5,0.0,20520000.0 
 01/01  23:00:00,-6.625,13.619037012602112,-5.096919776942618,21.5,0.0,20520000.0 
 01/01  24:00:00,-7.0,12.594024911377687,-5.9974807623290145,21.5,0.0,20520000.0 
