Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),GARAGE ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Mean Air Temperature [C](Hourly),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:Electricity [J](Hourly) 
 01/01  01:00:00,1.875,15.00016984222912,18.506655556998446,-1.92386109786637,0.0,18.5,0.0,5938359.99961669 
 01/01  02:00:00,0.5,13.86358999885712,19.526413351989554,-1.2559058960883362,0.0,23.5,0.0,14400000.0 
 01/01  03:00:00,-2.25,12.903033539047907,19.140764137909237,-1.8600932508448214,0.0,22.5,0.0,14400000.0 
 01/01  04:00:00,-2.375,12.264005497145769,18.844253513443164,-2.6569339315292066,0.0,23.5,0.0,14400000.0 
 01/01  05:00:00,-3.875,11.67281885874706,18.476101213890704,-3.491639438408362,0.0,22.5,0.0,14400000.0 
 01/01  06:00:00,-3.75,11.132155048282044,18.561401986559872,-4.520997173297988,0.0,22.5,0.0,14400000.0 
 01/01  07:00:00,-3.625,10.542159831349153,18.285765621738776,-5.019046057977698,0.0,18.5,0.0,10955659.513114583 
 01/01  08:00:00,-4.0,9.840534412598695,18.29565126736296,-5.203268220822165,0.0,20.75,0.0,14400000.0 
 01/01  09:00:00,-0.25,9.62844510893952,18.192293314523752,-3.358778850014906,0.0,23.5,0.0,14400000.0 
 01/01  10:00:00,6.375,10.03269933388561,19.267690533253745,2.994630519548225,0.0,22.5,0.0,14400000.000000002 
 01/01  11:00:00,5.875,10.724722010396004,20.39584584085492,8.840258907255228,0.0,23.5,0.0,14400000.0 
 01/01  12:00:00,4.0,11.505432466921775,18.67915300693044,11.641447310198021,0.0,18.5,0.0,2329300.312966141 
 01/01  13:00:00,4.0,12.750832535039008,18.44613067132209,13.299241496666465,0.0,18.5,0.0,3492735.4096280923 
 01/01  14:00:00,5.25,13.896127040077152,18.431110928032417,13.823606926559172,0.0,18.5,0.0,3420212.5772059476 
 01/01  15:00:00,5.875000000000001,14.640862288296127,18.462771702573583,13.371972160098025,0.0,18.5,0.0,1909487.618201631 
 01/01  16:00:00,5.3,14.931615315201775,18.46587658184352,12.263707920970843,0.0,18.5,0.0,2162529.341863171 
 01/01  17:00:00,3.75,14.838779243523847,18.437783813034187,9.87417517122546,0.0,18.5,0.0,4579991.091659804 
 01/01  18:00:00,0.5,13.738460190397612,18.418778438856755,5.626729080376467,0.0,18.5,0.0,8262782.857047095 
 01/01  19:00:00,-1.0,12.435153292721408,19.459446947759503,2.155127869384402,0.0,22.5,0.0,14400000.0 
 01/01  20:00:00,-1.0,11.535504568692922,19.542128193666883,-0.16939021181376396,0.0,22.5,0.0,14400000.0 
 01/01  21:00:00,-1.0,10.865464769044708,19.368804459611894,-1.5883840008871568,0.0,22.5,0.0,14400000.0 
 01/01  22:00:00,-1.0,10.396565497904039,19.255782116371,-2.3824791295206484,0.0,22.5,0.0,14400000.0 
 01/01  23:00:00,-0.375,10.08048969444159,19.07473007168119,-2.5969852357903473,0.0,22.5,0.0,14400000.0 
 01/01  24:00:00,0.0,9.875955867349695,18.986160037242662,-2.54692353297974,0.0,22.0,0.0,14400000.0 
