1,2,3,4,5
18.5,22.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,20.5,18.5,18.5,19
18.5,20.5,18.5,18.5,18.5
18.5,22.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,19,18.5
18.5,18.5,18.5,19,19
18.5,18.5,18.5,18.5,19.5
19,18.5,18.5,18.5,20
19.5,22.5,18.5,21.5,21
20,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,21,18.5,21,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
